,anteriorsalience_mean_activation,auditory_mean_activation,basalganglia_mean_activation,dorsaldmn_mean_activation,highervisual_mean_activation,language_mean_activation,leftcontrol_mean_activation,posteriorsalience_mean_activation,precuneus_mean_activation,primaryvisual_mean_activation,rightcontrol_mean_activation,sensorimotor_mean_activation,ventraldmn_mean_activation,visuospatial_mean_activation
State_1,-1.201948832160451,-1.21702177983898,-1.2891465903633135,-1.234360947510907,-1.346911240640742,-1.3087861042362194,-1.0717926873267896,-1.0862305636063585,-0.9847639949315229,-0.9626089797923687,-1.289515099783129,-1.2030926019743287,-1.1050667466901936,-1.3089224916090862
State_2,-0.4787331182208073,-0.6492747224036075,-0.8745673167267066,-0.6815714909774284,-0.9741980787284361,-0.6927586612686012,-1.2727859764713814,-0.5662198611430115,-1.3083219759654592,-0.5898093610962291,-1.0223172714987419,-0.7727270433251107,-1.07255392785575,-0.6542571051500906
State_3,0.4732958941709422,0.4591232000845057,0.621179779301121,0.40546402178878793,0.5861669668164035,0.552444280715345,0.24833836103077317,0.21503922848254878,0.10747984753838634,0.3421818328383724,0.4822456578429644,0.7139336854104154,0.262104057634292,0.8642227763554409
State_4,-0.3067213135815133,-0.4498596983407552,-0.41017331152186504,-0.35733641242820663,-0.3379958738681889,-0.3174194597800344,-0.3024351370119301,-0.37436054712321,-0.18614065465296653,-0.3174247983993857,-0.31762569586219974,-0.3655620718188365,-0.23147030049415435,-0.5538844166929082
State_5,0.02642572859633967,0.19498687991363572,0.3502042897479981,0.4868331609822116,-0.017708269953515262,0.0008400387085786636,0.11433720607110551,-0.13552349951159703,0.6200657347844389,0.10478190637598724,-0.08134059081191321,0.596017428870364,0.46173615144750424,0.07141656735327191
State_6,0.5145228888311812,0.7527204209805346,0.573665909988934,0.8132119828607214,0.6779210776231038,0.508214262318109,-0.21411834700032864,0.31809210363046503,0.17621310782653346,0.38730851646455094,0.4204311837987539,0.2754248667059671,0.24690844372158074,0.5829237154087751
State_7,-0.6607464429944508,-0.7454009783617049,-0.7839273621396274,-0.934377218222533,-0.7144394397565144,-0.7709572158553842,-0.08638123194739665,-0.6977865020123817,-0.30773081635051086,-0.6975875944867347,-0.48439204684104137,-0.6307324509012575,-0.41935276634254504,-0.7196190544077111
State_8,-0.706578802256756,-0.833187910271167,-1.0719861429254736,-0.8585645671300588,-1.1901556271327627,-0.8954413839950968,-1.465090373379182,-0.7325912247072509,-1.4768306927269639,-0.7043213691763852,-1.1926408849324635,-0.9584468440897829,-1.2251219576429762,-0.8498722500966032
State_9,-0.6542322154784638,-0.3718834658894449,-0.514824646765605,-0.32723834413157304,-0.36469054196621126,-0.8270549882031489,-0.94446732735451,-0.9974897521567311,-0.22087602850392704,-0.7738633032969323,-0.6083375246746447,-0.9982704388482267,-0.4950708184541924,-0.8061449198061582
State_10,0.4172251272561294,0.1515551178872583,0.050785943392465144,-0.07030114188530161,0.007383046447637683,0.16294975332725506,0.38005897164854224,0.3382636990774958,0.2473055506669904,0.27410810115605777,0.23846032344259852,0.2899181612652473,0.1695896405275846,0.26486354910935533
State_11,-1.191655611668682,-1.192440747797513,-1.2404816759462596,-1.199795744050975,-1.3188618588674748,-1.2589658153734595,-1.0562327987385716,-1.0111977225255808,-0.9518939976796493,-0.9492677805351163,-1.2612228916776438,-1.1660995699515277,-1.120960679745077,-1.2761926219206048
State_12,0.8676150246176721,0.7911793108449184,0.8127610300012091,0.8029413005896253,0.8762341954044166,0.7895802169979004,0.892182032892301,0.8135886869226084,0.6566128870427737,0.7531113564806994,0.8621431987930939,0.7663522633150144,0.7772630704538004,0.7754487446931625
State_13,0.6202774502128359,0.7200454056604486,0.48002370076671874,0.2566717364148601,0.9338144683073728,0.4589565902198001,0.9301605178772779,0.2972755722199101,0.10491060839709837,0.2730787331575592,1.0481184357817974,0.31697248576549136,0.4299267787972283,0.6944269394583071
State_14,-0.866717896846852,-0.4967583590311219,-0.2822358601713363,-0.1780289629013137,-0.5103530344243042,-0.1742020952626159,-0.6571533661208596,-0.495230760213318,0.02140779754223687,-0.3341220067248067,-0.48165531102947506,-0.34881460396877667,-0.2113211914064739,-0.6780623753675247
State_15,-0.26219124965118684,-0.16635358147839732,-0.15354915987545698,-0.20079538520828702,-0.27174098411064823,0.2505758822427446,-0.28651723372946425,0.8038754895767576,-0.054443443467088126,0.25930780995988073,-0.33228683970070194,-0.19395728326100597,-0.19106059428911873,0.05811427316639044
State_16,1.029251177850235,0.718457267885287,1.030357595033381,1.0464375185264123,0.9223543425246379,1.0317139022069926,1.155287407781937,1.0995327234844867,0.5303142046489835,0.938769240216891,0.8634564162296797,1.08595975375323,0.8040133263741899,0.9750561701328673
