,anteriorsalience_mean_activation,auditory_mean_activation,basalganglia_mean_activation,dorsaldmn_mean_activation,highervisual_mean_activation,language_mean_activation,leftcontrol_mean_activation,posteriorsalience_mean_activation,precuneus_mean_activation,primaryvisual_mean_activation,rightcontrol_mean_activation,sensorimotor_mean_activation,ventraldmn_mean_activation,visuospatial_mean_activation
State_1,-0.06630738940629059,0.12346095708520453,-0.037400571250607396,-0.10076864688599815,-0.14458516655130912,0.4490366610737239,-0.11097838355288428,1.0198589478004414,0.009284757460380615,0.5537966526963524,-0.18673939674154988,0.03985098560135566,-0.11641690044710182,0.276825966020366
State_2,0.5640305487070473,0.6632404797865729,0.4943706042222949,0.1642845048180502,0.8818365842536298,0.4378415077364253,0.9279512806744326,0.1845121656216094,-0.0021865583210778933,0.20886487560808997,1.0240257980259744,0.2682407175099429,0.41576446683558055,0.7122254627539172
State_3,-0.5111572016146859,-0.6237338303685367,-0.9052891883424936,-0.6078852219967553,0.1255323938939826,-1.1483784450216374,-0.8819659633414508,-0.6890282428598379,-0.5883555492908087,-0.9657819988601342,-0.38934674677670644,-1.0948244718427298,-0.776022390602249,-0.9023379356623086
State_4,-0.7802898902377429,-0.8605768043449308,-0.9789545235676478,-0.965727902144457,-0.9135624837874406,-0.8858195169076231,-0.7241687736371946,-0.4188377172135415,-0.7361971077978382,-0.6063339537886406,-0.7354689400789308,-0.8838724572237939,-0.8127248079513115,-0.9812245263720862
State_5,-1.1655109009444955,-1.0003008024207782,-1.1824326826704863,-1.014215749665411,-0.8159220832277815,-1.1670563825491993,-1.0126194295276263,-1.2490461875919117,-0.5285664731772504,-1.0785327516437742,-0.9961016947212422,-1.220309676173177,-0.8261025408825321,-1.2132153272224024
State_6,-0.05583212899718651,0.19943613209911107,0.4052501736641179,0.324365343155321,-0.0026259330614237133,0.14576784565089668,0.1351837094653052,-0.008615998439071517,0.3213425644377048,0.4027164468949525,-0.19406820002709155,0.6369500195283512,0.19362380616118394,0.41491061907211435
State_7,0.3655510603533376,0.35189159535823394,-0.49656603864235005,-0.03284047849725256,0.17495822262825456,-0.40022949485455145,-0.5886957415103613,-0.36911712654452583,-0.45272125638730343,-0.11337417339869973,-0.026881346833937933,-0.4886057193302582,-0.07313044053319336,-0.03819474864971182
State_8,-0.22361832425526407,-0.4054485273764853,-0.4934850249232695,-0.2601141004481216,-0.22403060812956616,-0.2725650346989584,-0.22000420661203393,-0.1365526381305201,0.00890778725400703,-0.10373111788011152,-0.4635440738690848,0.11001905619534384,-0.057661245125906056,-0.5462356570443437
State_9,0.6718420874058715,0.055955475292507655,0.6539982880999401,0.6030116380708724,0.5275170663931295,0.5295469817782423,0.994954884760712,0.8397040241647897,0.4226680527395278,0.6587625864996718,0.573789403188121,0.8427629138666026,0.6964179472913452,0.38550907841600335
State_10,-1.2177907306002593,0.47393939310345784,0.016034232290959804,-0.5871921671817116,-0.8083470511882391,-0.12745346904923396,-1.028032586185384,-0.43920711672451623,-0.8767176166974454,-0.22787129246397764,-0.6122480189384417,0.6576228205666548,-0.5620536548351075,0.24450893627835427
