,anteriorsalience_mean_activation,auditory_mean_activation,basalganglia_mean_activation,dorsaldmn_mean_activation,highervisual_mean_activation,language_mean_activation,leftcontrol_mean_activation,posteriorsalience_mean_activation,precuneus_mean_activation,primaryvisual_mean_activation,rightcontrol_mean_activation,sensorimotor_mean_activation,ventraldmn_mean_activation,visuospatial_mean_activation
State_1,-1.215877329562983,-0.930692648013791,-1.1629173054386992,-0.7879578230942171,-0.8564460741687138,-1.313383622051471,-1.4456319512228233,-1.4236527793840534,-0.6062914184654433,-1.1619569029688073,-1.0795964065742183,-1.342272591155138,-1.1486499243304487,-1.2607817139335036
State_2,-0.4768044491227293,-0.4963902354255905,-0.5678337019088057,-0.5517534242642614,-0.6130981140832586,-0.2742734018904357,-0.06278279375214994,-0.07780522181436016,-0.10862200969578244,-0.12900482229425037,-0.2930271550862646,-0.27028975914612263,-0.15906056213063427,-0.5399353361464209
State_3,0.559625520914731,0.5990766705154271,0.40498763187126147,0.1968479859858773,0.815360160932784,0.4311129593861932,0.8184314189286984,0.2545742515123069,0.10305895094031982,0.29568930820050204,0.9641451107485429,0.2618467114097309,0.34358491496685645,0.7290643111679388
State_4,0.6143824056379719,0.40052625419674703,0.8486047049321149,0.8110695839111027,0.8484386371425607,0.39709590577620585,0.7480512024822104,0.1198678675624574,0.452743112626599,0.22908733811414464,0.5114769904095509,0.5540563863641906,0.7211311661799397,0.4358514943222818
State_5,-0.08481433242720757,0.2784000166968494,0.29541008278109104,0.32030786438508146,-0.16272041248049032,0.060225785982708155,-0.08291168585025807,-0.007418251772155685,0.5430371181707949,0.12264663880419154,-0.06149270367739244,0.5296084656341076,0.1674262461064279,0.029398639921526748
State_6,0.5906489463376104,0.2786580091360484,0.47878155312745,0.48258662596409296,0.2665599348889614,0.8199489712617883,0.5601515294277235,0.9873052193152313,0.3918426183285405,0.7465171201618932,0.34108029868049367,0.8601341566946519,0.2323528109610519,0.6884327528199317
State_7,0.5881767493628849,0.6560742749789432,0.6179535199868188,0.8829546451331878,0.6199660330290492,0.6481683934938837,-0.24574816962331894,0.5611421978615179,0.11634762723072292,0.42368054829025215,0.3809342343349061,0.2908348134090124,0.291320452676421,0.627011458056002
State_8,-0.6473242226929627,-0.7615749338588568,-0.7899816550539478,-0.7926142699423807,-0.852520916171372,-0.6834381936944115,-0.5146416392062196,-0.4974270087001223,-0.43429411841272486,-0.5275223337760685,-0.617339775313151,-0.679741450787322,-0.5141593890260867,-0.8984556356607634
State_9,-0.5034682365364582,-0.49719257612560486,-0.6029915833671056,-0.7185090828489298,-0.28300973814543534,-0.7191159242378041,-0.1470559370228152,-0.7526003105400825,-0.5228503220783752,-0.6278728407702471,-0.4478990647240362,-0.7883546841828466,-0.3622459671524069,-0.5768726532943699
State_10,-0.7549696503710868,-0.32269819791233456,-0.10331394119429015,-0.26129156478055116,-0.6026443150920939,-0.2593412502831221,-0.8160088570626846,-0.12656382394954063,-0.1609070027698985,-0.28780651464306645,-0.7778510943200672,-0.5577662767964918,-0.3082557181496524,-0.2594692092024626
State_11,1.2198357865676461,1.124451364169751,1.0676716331418277,1.036673119627999,1.2091551096763953,0.9672587211058256,1.2875018251937507,1.0496526473351577,0.69199472418813,0.9068050791790404,1.1830367231662244,1.0397848173814974,1.047313624826192,1.0377453701804402
State_12,-1.3600300820387186,-1.3169326749047239,-1.4559397997517487,-1.3365523453324104,-1.3874902567133558,-1.483784208786707,-1.4003130100351766,-1.4321756122823421,-1.1950436892550027,-1.2847402992975432,-1.4980388365506325,-1.3247969958077155,-1.3661488970281093,-1.415198085275819
State_13,0.11274880329462991,0.3463274640580039,0.2330182817571595,0.12823538372031354,0.09869046386501264,0.4702827503694306,-0.529775321873849,0.11710741982034885,-0.12556771118157425,0.34566262388456703,0.10049950998786417,0.5913691962597709,-0.128870611625221,0.699471033884773
State_14,0.30222381502249507,0.08903487550610781,0.08901741085650286,0.05590631176996385,0.11761647173775291,0.1470317000459572,0.3153063080962514,0.1885883044021637,0.2098998365204372,0.17683328124789796,0.20318214481924685,0.18080920375507475,0.18050069600934007,0.14157382528512655
