,anteriorsalience_mean_activation,auditory_mean_activation,basalganglia_mean_activation,dorsaldmn_mean_activation,highervisual_mean_activation,language_mean_activation,leftcontrol_mean_activation,posteriorsalience_mean_activation,precuneus_mean_activation,primaryvisual_mean_activation,rightcontrol_mean_activation,sensorimotor_mean_activation,ventraldmn_mean_activation,visuospatial_mean_activation
State_1,0.012431405629281422,0.1537787742995991,0.34589223433823674,0.29488950062149116,0.1806841097305355,0.27454215942400395,-0.035397829279544046,0.04163574333442752,0.17091274223589337,0.18109434987454773,0.06008666751691689,0.43364003564185866,0.17865752737664053,0.32429074596612834
State_2,-0.6615635810843974,-0.7696444365331803,-0.8143766583642155,-0.86735151466535,-0.7800268734755558,-0.7170728188415655,-0.28590108268388104,-0.5609620297942172,-0.3838447607967023,-0.5698503149760583,-0.594085249652269,-0.6189896631650236,-0.4827283361288314,-0.8250657190229383
State_3,0.8633661896381708,0.7771099417589101,0.7826810764544619,0.6722291440313293,0.9443054885459912,0.7306022446115088,1.0456197843676533,0.6824060376564549,0.41425497151168916,0.6094557571942253,0.9849468525676781,0.777338716068043,0.6922444517212423,0.8608316735106649
State_4,0.3129182341539943,0.18584865017833405,0.18839700918759253,0.17458907036867305,0.15679109088711932,0.2195937932837349,0.2836219750504883,0.2301520064837171,0.2683165530630011,0.2353884298240082,0.23810523887859394,0.21591657220547955,0.23621782817032674,0.19753072573310448
State_5,0.2424115626526139,0.21131901781861911,0.14064721204203812,0.30499315707544733,0.10877406624032893,0.37181465595503194,-0.3556924522695579,0.4637127622100588,-0.10537426898467361,0.2294768956547024,-0.0031462260002837823,-0.014626335299590868,-0.053827249742279724,0.2779940053456372
State_6,-0.9824821099394383,-0.6503526856421589,-0.6893410641906662,-0.5638331333393352,-0.7640929394405512,-0.9486517109076907,-1.0814440383609039,-0.998810926629657,-0.4396377681256608,-0.7721423155569648,-0.9563701033462338,-0.8918185712025042,-0.7275357136332453,-0.9154700273434907
